,0,1
0.0,29.814814814814866,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/clgsetp_0/run_0
1.0,30.112962962963014,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/clgsetp_0/run_1
2.5,30.560185185185237,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/clgsetp_0/run_2.5
5.0,31.30555555555561,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/clgsetp_0/run_5
10.0,32.796296296296354,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/clgsetp_0/run_10
25.0,37.26851851851858,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/clgsetp_0/run_25
50.0,44.72222222222231,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/clgsetp_0/run_50
98.0,59.03333333333344,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/clgsetp_0/run_98
75.0,52.175925925926016,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/clgsetp_0/run_75
