,elect,hot,chill,elect_c,hot_c,chill_c,total,total_c,vals,perc_change
-98.0,109233.58099310899,80590.32907351355,58812.48516844663,18935.52,10999.42,7023.68,248636.39523506915,36958.62,0.2647921962510597,-98.0
-75.0,116969.24672386397,77959.01227939849,59926.02584022525,20413.87,10640.29,7156.66,254854.2848434877,38210.82,3.3099024531382497,-75.0
-50.0,125420.9440696585,75351.87011968817,61293.31925148623,22031.85,10284.45,7319.95,262066.1334408329,39636.25,6.6198049062765,-50.0
-25.0,133905.12846978183,73366.8968262073,63111.157207830845,23678.89,10013.53,7537.05,270383.18250382,41229.47,9.929707359414753,-25.0
-10.0,139028.0513632382,72322.24859399408,64383.07877906835,24667.23,9870.95,7688.95,275733.3787363006,42227.13,11.9156488312977,-10.0
-5.0,140739.0820882518,71989.08923999855,64821.405639550874,24997.92,9825.48,7741.29,277549.5769678012,42564.689999999995,12.57762932192535,-5.0
-2.5,141595.86692813537,71824.76953628744,65045.04702525051,25163.59,9803.05,7768.0,278465.6834896733,42734.64,12.908619567239176,-2.5
-1.0,142110.16079836997,71727.32091214469,65179.5542473149,25262.65,9789.75,7784.07,279017.03595782956,42836.47,13.10721371442747,-1.0
0.0,142453.40824978868,71662.765076043,65269.39710980665,25328.67,9780.94,7794.79,279385.5704356383,42904.4,13.239609812553,0.0
